SK_Venda,Quantia_Comprada,ID_Produto,Nome_Produto,Preco_Unitario,Valor_Total,CPF_Aluno,Nome_Plano,CPF_Personal,Quantia_Treinos,Data,Ano,Mes,Dia,Dia_Semana
176,8,8,Agua Mineral,3.5,28.0,129.748.563-73,Premium,435.201.798-14,3,2024-03-15,2024,3,15,Sexta-feira
1062,3,10,Corda de Pular,29.9,89.7,608.751.294-20,Basic,435.201.798-14,2,2024-03-16,2024,3,16,Sábado
132,9,1,Whey Protein,89.9,809.1,256.843.901-70,Premium,187.926.053-03,5,2024-03-18,2024,3,18,Segunda-feira
118,9,9,Isotonico,8.9,80.1,256.843.901-70,Premium,187.926.053-03,5,2024-03-22,2024,3,22,Sexta-feira
43,6,7,Shorts Treino,49.9,299.4,061.498.723-78,Premium,964.517.302-70,2,2024-03-25,2024,3,25,Segunda-feira
1033,9,6,Camiseta Dry Fit,39.9,359.1,029.346.875-38,Basic,026.954.731-25,3,2024-03-25,2024,3,25,Segunda-feira
94,8,5,Cinto Lombar,99.9,799.2,439.587.261-19,Standard,026.954.731-25,2,2024-03-28,2024,3,28,Quinta-feira
133,6,1,Whey Protein,89.9,539.4,926.014.578-30,Basic,187.926.053-03,3,2024-04-05,2024,4,5,Sexta-feira
137,4,2,Creatina,59.9,239.6,439.587.261-19,Standard,026.954.731-25,2,2024-04-09,2024,4,9,Terça-feira
211,6,4,Luva de Treino,49.9,299.4,109.756.842-30,Premium,356.890.241-98,4,2024-04-09,2024,4,9,Terça-feira
1048,6,7,Shorts Treino,49.9,299.4,903.278.451-04,Basic,430.579.182-04,1,2024-04-11,2024,4,11,Quinta-feira
18,1,4,Luva de Treino,49.9,49.9,061.498.723-78,Premium,964.517.302-70,2,2024-04-12,2024,4,12,Sexta-feira
156,6,5,Cinto Lombar,99.9,599.4,205.876.493-56,Premium,430.579.182-04,2,2024-04-13,2024,4,13,Sábado
1051,8,8,Agua Mineral,3.5,28.0,429.153.706-99,Basic,618.709.543-00,1,2024-04-13,2024,4,13,Sábado
131,9,1,Whey Protein,89.9,809.1,235.149.687-64,Anual,807.295.613-21,3,2024-04-14,2024,4,14,Domingo
153,6,4,Luva de Treino,49.9,299.4,670.925.381-30,Premium,618.709.543-00,1,2024-04-19,2024,4,19,Sexta-feira
220,6,5,Cinto Lombar,99.9,599.4,205.876.493-56,Premium,430.579.182-04,2,2024-05-03,2024,5,3,Sexta-feira
1006,6,1,Whey Protein,89.9,539.4,926.014.578-30,Basic,187.926.053-03,3,2024-05-03,2024,5,3,Sexta-feira
127,4,10,Corda de Pular,29.9,119.6,903.278.451-04,Basic,430.579.182-04,1,2024-05-06,2024,5,6,Segunda-feira
142,6,3,Pre-Treino,79.9,479.4,205.876.493-56,Premium,430.579.182-04,2,2024-05-06,2024,5,6,Segunda-feira
227,1,6,Camiseta Dry Fit,39.9,39.9,246.057.391-06,Premium,187.926.053-03,2,2024-05-17,2024,5,17,Sexta-feira
1027,6,4,Luva de Treino,49.9,299.4,926.014.578-30,Basic,187.926.053-03,3,2024-05-18,2024,5,18,Sábado
101,5,6,Camiseta Dry Fit,39.9,199.5,651.370.429-43,Basic,356.890.241-98,3,2024-05-21,2024,5,21,Terça-feira
87,8,4,Luva de Treino,49.9,399.2,439.587.261-19,Standard,026.954.731-25,2,2024-05-23,2024,5,23,Quinta-feira
109,9,7,Shorts Treino,49.9,449.1,129.748.563-73,Premium,435.201.798-14,3,2024-06-02,2024,6,2,Domingo
1037,10,6,Camiseta Dry Fit,39.9,399.0,256.184.093-05,Anual,924.138.650-98,1,2024-06-03,2024,6,3,Segunda-feira
1017,6,3,Pre-Treino,79.9,479.4,795.328.401-41,Standard,319.267.548-91,2,2024-06-05,2024,6,5,Quarta-feira
52,9,9,Isotonico,8.9,80.1,235.149.687-64,Anual,807.295.613-21,3,2024-06-06,2024,6,6,Quinta-feira
72,10,2,Creatina,59.9,599.0,246.057.391-06,Premium,187.926.053-03,2,2024-06-07,2024,6,7,Sexta-feira
80,6,3,Pre-Treino,79.9,479.4,795.328.401-41,Standard,319.267.548-91,2,2024-06-07,2024,6,7,Sexta-feira
134,8,2,Creatina,59.9,479.2,015.872.963-30,Standard,618.709.543-00,1,2024-06-09,2024,6,9,Domingo
1036,1,6,Camiseta Dry Fit,39.9,39.9,246.057.391-06,Premium,187.926.053-03,2,2024-06-09,2024,6,9,Domingo
1064,4,10,Corda de Pular,29.9,119.6,903.278.451-04,Basic,430.579.182-04,1,2024-06-11,2024,6,11,Terça-feira
123,3,10,Corda de Pular,29.9,89.7,256.184.093-05,Anual,924.138.650-98,1,2024-06-16,2024,6,16,Domingo
57,1,10,Corda de Pular,29.9,29.9,109.756.842-30,Premium,356.890.241-98,4,2024-06-20,2024,6,20,Quinta-feira
16,6,3,Pre-Treino,79.9,479.4,795.328.401-41,Standard,319.267.548-91,2,2024-06-21,2024,6,21,Sexta-feira
157,2,5,Cinto Lombar,99.9,199.8,256.843.901-70,Premium,187.926.053-03,5,2024-06-21,2024,6,21,Sexta-feira
187,3,10,Corda de Pular,29.9,89.7,256.184.093-05,Anual,924.138.650-98,1,2024-06-23,2024,6,23,Domingo
95,1,5,Cinto Lombar,99.9,99.9,651.370.429-43,Basic,356.890.241-98,3,2024-06-25,2024,6,25,Terça-feira
28,6,5,Cinto Lombar,99.9,599.4,205.876.493-56,Premium,430.579.182-04,2,2024-07-05,2024,7,5,Sexta-feira
42,8,7,Shorts Treino,49.9,399.2,024.619.853-24,Anual,964.517.302-70,1,2024-07-06,2024,7,6,Sábado
44,4,7,Shorts Treino,49.9,199.6,109.756.842-30,Premium,356.890.241-98,4,2024-07-06,2024,7,6,Sábado
205,5,3,Pre-Treino,79.9,399.5,061.498.723-78,Premium,964.517.302-70,2,2024-07-07,2024,7,7,Domingo
164,10,6,Camiseta Dry Fit,39.9,399.0,256.184.093-05,Anual,924.138.650-98,1,2024-07-15,2024,7,15,Segunda-feira
192,6,10,Corda de Pular,29.9,179.4,941.805.763-84,Standard,187.926.053-03,5,2024-07-19,2024,7,19,Sexta-feira
185,1,10,Corda de Pular,29.9,29.9,109.756.842-30,Premium,356.890.241-98,4,2024-07-23,2024,7,23,Terça-feira
186,1,10,Corda de Pular,29.9,29.9,173.204.986-69,Anual,026.954.731-25,1,2024-07-23,2024,7,23,Terça-feira
202,7,2,Creatina,59.9,419.3,795.328.401-41,Standard,319.267.548-91,2,2024-07-28,2024,7,28,Domingo
54,9,9,Isotonico,8.9,80.1,256.843.901-70,Premium,187.926.053-03,5,2024-07-30,2024,7,30,Terça-feira
1005,9,1,Whey Protein,89.9,809.1,256.843.901-70,Premium,187.926.053-03,5,2024-07-30,2024,7,30,Terça-feira
59,3,10,Corda de Pular,29.9,89.7,256.184.093-05,Anual,924.138.650-98,1,2024-07-31,2024,7,31,Quarta-feira
1025,5,4,Luva de Treino,49.9,249.5,504.983.671-93,Basic,924.138.650-98,2,2024-08-01,2024,8,1,Quinta-feira
1040,7,6,Camiseta Dry Fit,39.9,279.3,795.328.401-41,Standard,319.267.548-91,2,2024-08-02,2024,8,2,Sexta-feira
50,8,8,Agua Mineral,3.5,28.0,429.153.706-99,Basic,618.709.543-00,1,2024-08-04,2024,8,4,Domingo
138,7,2,Creatina,59.9,419.3,795.328.401-41,Standard,319.267.548-91,2,2024-08-04,2024,8,4,Domingo
237,9,7,Shorts Treino,49.9,449.1,129.748.563-73,Premium,435.201.798-14,3,2024-08-07,2024,8,7,Quarta-feira
1032,1,5,Cinto Lombar,99.9,99.9,651.370.429-43,Basic,356.890.241-98,3,2024-08-11,2024,8,11,Domingo
135,7,2,Creatina,59.9,419.3,024.619.853-24,Anual,964.517.302-70,1,2024-08-13,2024,8,13,Terça-feira
117,1,9,Isotonico,8.9,8.9,239.758.041-14,Basic,187.926.053-03,3,2024-08-14,2024,8,14,Quarta-feira
179,4,9,Isotonico,8.9,35.6,205.876.493-56,Premium,430.579.182-04,2,2024-08-15,2024,8,15,Quinta-feira
148,2,4,Luva de Treino,49.9,99.8,129.748.563-73,Premium,435.201.798-14,3,2024-08-16,2024,8,16,Sexta-feira
161,4,6,Camiseta Dry Fit,39.9,159.6,032.968.745-00,Basic,924.138.650-98,3,2024-08-18,2024,8,18,Domingo
208,6,3,Pre-Treino,79.9,479.4,795.328.401-41,Standard,319.267.548-91,2,2024-08-24,2024,8,24,Sábado
149,4,4,Luva de Treino,49.9,199.6,145.620.738-53,Premium,430.579.182-04,5,2024-08-25,2024,8,25,Domingo
71,7,2,Creatina,59.9,419.3,024.619.853-24,Anual,964.517.302-70,1,2024-08-27,2024,8,27,Terça-feira
165,5,6,Camiseta Dry Fit,39.9,199.5,651.370.429-43,Basic,356.890.241-98,3,2024-08-27,2024,8,27,Terça-feira
244,9,9,Isotonico,8.9,80.1,235.149.687-64,Anual,807.295.613-21,3,2024-08-30,2024,8,30,Sexta-feira
251,3,10,Corda de Pular,29.9,89.7,256.184.093-05,Anual,924.138.650-98,1,2024-08-30,2024,8,30,Sexta-feira
201,4,2,Creatina,59.9,239.6,439.587.261-19,Standard,026.954.731-25,2,2024-09-05,2024,9,5,Quinta-feira
38,5,6,Camiseta Dry Fit,39.9,199.5,704.869.321-50,Basic,435.201.798-14,2,2024-09-07,2024,9,7,Sábado
1003,10,1,Whey Protein,89.9,899.0,105.962.743-43,Anual,435.201.798-14,2,2024-09-08,2024,9,8,Domingo
1018,8,3,Pre-Treino,79.9,639.2,867.450.391-84,Premium,026.954.731-25,4,2024-09-21,2024,9,21,Sábado
64,6,10,Corda de Pular,29.9,179.4,941.805.763-84,Standard,187.926.053-03,5,2024-09-23,2024,9,23,Segunda-feira
84,2,4,Luva de Treino,49.9,99.8,129.748.563-73,Premium,435.201.798-14,3,2024-09-25,2024,9,25,Quarta-feira
25,6,4,Luva de Treino,49.9,299.4,670.925.381-30,Premium,618.709.543-00,1,2024-09-26,2024,9,26,Quinta-feira
37,5,6,Camiseta Dry Fit,39.9,199.5,651.370.429-43,Basic,356.890.241-98,3,2024-09-26,2024,9,26,Quinta-feira
122,1,10,Corda de Pular,29.9,29.9,173.204.986-69,Anual,026.954.731-25,1,2024-09-26,2024,9,26,Quinta-feira
250,1,10,Corda de Pular,29.9,29.9,173.204.986-69,Anual,026.954.731-25,1,2024-09-29,2024,9,29,Domingo
19,6,4,Luva de Treino,49.9,299.4,109.756.842-30,Premium,356.890.241-98,4,2024-10-05,2024,10,5,Sábado
199,7,2,Creatina,59.9,419.3,024.619.853-24,Anual,964.517.302-70,1,2024-10-14,2024,10,14,Segunda-feira
247,6,9,Isotonico,8.9,53.4,704.869.321-50,Basic,435.201.798-14,2,2024-10-14,2024,10,14,Segunda-feira
82,1,4,Luva de Treino,49.9,49.9,061.498.723-78,Premium,964.517.302-70,2,2024-10-15,2024,10,15,Terça-feira
1042,5,7,Shorts Treino,49.9,249.5,015.872.963-30,Standard,618.709.543-00,1,2024-10-15,2024,10,15,Terça-feira
1030,2,5,Cinto Lombar,99.9,199.8,256.843.901-70,Premium,187.926.053-03,5,2024-10-17,2024,10,17,Quinta-feira
67,9,1,Whey Protein,89.9,809.1,235.149.687-64,Anual,807.295.613-21,3,2024-10-20,2024,10,20,Domingo
99,1,6,Camiseta Dry Fit,39.9,39.9,246.057.391-06,Premium,187.926.053-03,2,2024-10-21,2024,10,21,Segunda-feira
104,10,6,Camiseta Dry Fit,39.9,399.0,926.014.578-30,Basic,187.926.053-03,3,2024-10-22,2024,10,22,Terça-feira
238,3,7,Shorts Treino,49.9,149.7,807.942.153-60,Basic,924.138.650-98,3,2024-10-24,2024,10,24,Quinta-feira
14,6,3,Pre-Treino,79.9,479.4,205.876.493-56,Premium,430.579.182-04,2,2024-10-27,2024,10,27,Domingo
1056,6,9,Isotonico,8.9,53.4,704.869.321-50,Basic,435.201.798-14,2,2024-10-28,2024,10,28,Segunda-feira
76,10,3,Pre-Treino,79.9,799.0,024.619.853-24,Anual,964.517.302-70,1,2024-11-04,2024,11,4,Segunda-feira
1043,8,7,Shorts Treino,49.9,399.2,024.619.853-24,Anual,964.517.302-70,1,2024-11-04,2024,11,4,Segunda-feira
5,6,1,Whey Protein,89.9,539.4,926.014.578-30,Basic,187.926.053-03,3,2024-11-05,2024,11,5,Terça-feira
31,1,5,Cinto Lombar,99.9,99.9,651.370.429-43,Basic,356.890.241-98,3,2024-11-09,2024,11,9,Sábado
235,6,7,Shorts Treino,49.9,299.4,061.498.723-78,Premium,964.517.302-70,2,2024-11-10,2024,11,10,Domingo
113,3,8,Agua Mineral,3.5,10.5,173.204.986-69,Anual,026.954.731-25,1,2024-11-15,2024,11,15,Sexta-feira
106,8,7,Shorts Treino,49.9,399.2,024.619.853-24,Anual,964.517.302-70,1,2024-11-17,2024,11,17,Domingo
222,8,5,Cinto Lombar,99.9,799.2,439.587.261-19,Standard,026.954.731-25,2,2024-11-17,2024,11,17,Domingo
36,10,6,Camiseta Dry Fit,39.9,399.0,256.184.093-05,Anual,924.138.650-98,1,2024-11-19,2024,11,19,Terça-feira
234,8,7,Shorts Treino,49.9,399.2,024.619.853-24,Anual,964.517.302-70,1,2024-11-20,2024,11,20,Quarta-feira
217,6,4,Luva de Treino,49.9,299.4,670.925.381-30,Premium,618.709.543-00,1,2024-11-21,2024,11,21,Quinta-feira
1046,9,7,Shorts Treino,49.9,449.1,129.748.563-73,Premium,435.201.798-14,3,2024-11-28,2024,11,28,Quinta-feira
245,1,9,Isotonico,8.9,8.9,239.758.041-14,Basic,187.926.053-03,3,2024-11-29,2024,11,29,Sexta-feira
203,7,2,Creatina,59.9,419.3,867.450.391-84,Premium,026.954.731-25,4,2024-11-30,2024,11,30,Sábado
15,7,3,Pre-Treino,79.9,559.3,356.982.147-19,Standard,924.138.650-98,5,2024-12-04,2024,12,4,Quarta-feira
180,9,9,Isotonico,8.9,80.1,235.149.687-64,Anual,807.295.613-21,3,2024-12-06,2024,12,6,Sexta-feira
1015,6,3,Pre-Treino,79.9,479.4,205.876.493-56,Premium,430.579.182-04,2,2024-12-06,2024,12,6,Sexta-feira
232,10,6,Camiseta Dry Fit,39.9,399.0,926.014.578-30,Basic,187.926.053-03,3,2024-12-10,2024,12,10,Terça-feira
1021,2,4,Luva de Treino,49.9,99.8,129.748.563-73,Premium,435.201.798-14,3,2024-12-11,2024,12,11,Quarta-feira
155,9,5,Cinto Lombar,99.9,899.1,105.962.743-43,Anual,435.201.798-14,2,2024-12-14,2024,12,14,Sábado
193,5,1,Whey Protein,89.9,449.5,032.968.745-00,Basic,924.138.650-98,3,2024-12-15,2024,12,15,Domingo
93,2,5,Cinto Lombar,99.9,199.8,256.843.901-70,Premium,187.926.053-03,5,2024-12-16,2024,12,16,Segunda-feira
1011,7,2,Creatina,59.9,419.3,795.328.401-41,Standard,319.267.548-91,2,2024-12-16,2024,12,16,Segunda-feira
119,6,9,Isotonico,8.9,53.4,704.869.321-50,Basic,435.201.798-14,2,2024-12-26,2024,12,26,Quinta-feira
85,4,4,Luva de Treino,49.9,199.6,145.620.738-53,Premium,430.579.182-04,5,2024-12-27,2024,12,27,Sexta-feira
150,8,4,Luva de Treino,49.9,399.2,356.982.147-19,Standard,924.138.650-98,5,2024-12-30,2024,12,30,Segunda-feira
162,1,6,Camiseta Dry Fit,39.9,39.9,145.620.738-53,Premium,430.579.182-04,5,2025-01-04,2025,1,4,Sábado
198,8,2,Creatina,59.9,479.2,015.872.963-30,Standard,618.709.543-00,1,2025-01-04,2025,1,4,Sábado
209,8,3,Pre-Treino,79.9,639.2,867.450.391-84,Premium,026.954.731-25,4,2025-01-04,2025,1,4,Sábado
1059,1,10,Corda de Pular,29.9,29.9,173.204.986-69,Anual,026.954.731-25,1,2025-01-04,2025,1,4,Sábado
110,3,7,Shorts Treino,49.9,149.7,807.942.153-60,Basic,924.138.650-98,3,2025-01-05,2025,1,5,Domingo
1045,4,7,Shorts Treino,49.9,199.6,109.756.842-30,Premium,356.890.241-98,4,2025-01-05,2025,1,5,Domingo
230,5,6,Camiseta Dry Fit,39.9,199.5,704.869.321-50,Basic,435.201.798-14,2,2025-01-12,2025,1,12,Domingo
168,10,6,Camiseta Dry Fit,39.9,399.0,926.014.578-30,Basic,187.926.053-03,3,2025-01-16,2025,1,16,Quinta-feira
239,6,7,Shorts Treino,49.9,299.4,903.278.451-04,Basic,430.579.182-04,1,2025-01-16,2025,1,16,Quinta-feira
163,1,6,Camiseta Dry Fit,39.9,39.9,246.057.391-06,Premium,187.926.053-03,2,2025-01-21,2025,1,21,Terça-feira
45,9,7,Shorts Treino,49.9,449.1,129.748.563-73,Premium,435.201.798-14,3,2025-01-24,2025,1,24,Sexta-feira
114,8,8,Agua Mineral,3.5,28.0,429.153.706-99,Basic,618.709.543-00,1,2025-01-29,2025,1,29,Quarta-feira
195,9,1,Whey Protein,89.9,809.1,235.149.687-64,Anual,807.295.613-21,3,2025-01-29,2025,1,29,Quarta-feira
1023,8,4,Luva de Treino,49.9,399.2,356.982.147-19,Standard,924.138.650-98,5,2025-02-01,2025,2,1,Sábado
51,4,9,Isotonico,8.9,35.6,205.876.493-56,Premium,430.579.182-04,2,2025-02-06,2025,2,6,Quinta-feira
1054,1,9,Isotonico,8.9,8.9,239.758.041-14,Basic,187.926.053-03,3,2025-02-08,2025,2,8,Sábado
169,5,7,Shorts Treino,49.9,249.5,015.872.963-30,Standard,618.709.543-00,1,2025-02-17,2025,2,17,Segunda-feira
108,4,7,Shorts Treino,49.9,199.6,109.756.842-30,Premium,356.890.241-98,4,2025-02-23,2025,2,23,Domingo
1041,10,6,Camiseta Dry Fit,39.9,399.0,926.014.578-30,Basic,187.926.053-03,3,2025-02-26,2025,2,26,Quarta-feira
20,2,4,Luva de Treino,49.9,99.8,129.748.563-73,Premium,435.201.798-14,3,2025-03-02,2025,3,2,Domingo
154,6,4,Luva de Treino,49.9,299.4,926.014.578-30,Basic,187.926.053-03,3,2025-03-02,2025,3,2,Domingo
189,3,10,Corda de Pular,29.9,89.7,608.751.294-20,Basic,435.201.798-14,2,2025-03-09,2025,3,9,Domingo
171,6,7,Shorts Treino,49.9,299.4,061.498.723-78,Premium,964.517.302-70,2,2025-03-10,2025,3,10,Segunda-feira
139,7,2,Creatina,59.9,419.3,867.450.391-84,Premium,026.954.731-25,4,2025-03-20,2025,3,20,Quinta-feira
83,6,4,Luva de Treino,49.9,299.4,109.756.842-30,Premium,356.890.241-98,4,2025-03-29,2025,3,29,Sábado
1016,7,3,Pre-Treino,79.9,559.3,356.982.147-19,Standard,924.138.650-98,5,2025-03-30,2025,3,30,Domingo
35,1,6,Camiseta Dry Fit,39.9,39.9,246.057.391-06,Premium,187.926.053-03,2,2025-04-01,2025,4,1,Terça-feira
78,6,3,Pre-Treino,79.9,479.4,205.876.493-56,Premium,430.579.182-04,2,2025-04-04,2025,4,4,Sexta-feira
12,10,3,Pre-Treino,79.9,799.0,024.619.853-24,Anual,964.517.302-70,1,2025-04-09,2025,4,9,Quarta-feira
213,4,4,Luva de Treino,49.9,199.6,145.620.738-53,Premium,430.579.182-04,5,2025-04-16,2025,4,16,Quarta-feira
141,5,3,Pre-Treino,79.9,399.5,061.498.723-78,Premium,964.517.302-70,2,2025-04-17,2025,4,17,Quinta-feira
231,7,6,Camiseta Dry Fit,39.9,279.3,795.328.401-41,Standard,319.267.548-91,2,2025-04-22,2025,4,22,Terça-feira
255,4,10,Corda de Pular,29.9,119.6,903.278.451-04,Basic,430.579.182-04,1,2025-04-22,2025,4,22,Terça-feira
105,5,7,Shorts Treino,49.9,249.5,015.872.963-30,Standard,618.709.543-00,1,2025-04-28,2025,4,28,Segunda-feira
81,8,3,Pre-Treino,79.9,639.2,867.450.391-84,Premium,026.954.731-25,4,2025-05-04,2025,5,4,Domingo
130,10,1,Whey Protein,89.9,899.0,105.962.743-43,Anual,435.201.798-14,2,2025-05-07,2025,5,7,Quarta-feira
1022,4,4,Luva de Treino,49.9,199.6,145.620.738-53,Premium,430.579.182-04,5,2025-05-08,2025,5,8,Quinta-feira
70,8,2,Creatina,59.9,479.2,015.872.963-30,Standard,618.709.543-00,1,2025-05-10,2025,5,10,Sábado
29,2,5,Cinto Lombar,99.9,199.8,256.843.901-70,Premium,187.926.053-03,5,2025-05-12,2025,5,12,Segunda-feira
225,4,6,Camiseta Dry Fit,39.9,159.6,032.968.745-00,Basic,924.138.650-98,3,2025-05-24,2025,5,24,Sábado
69,6,1,Whey Protein,89.9,539.4,926.014.578-30,Basic,187.926.053-03,3,2025-05-30,2025,5,30,Sexta-feira
253,3,10,Corda de Pular,29.9,89.7,608.751.294-20,Basic,435.201.798-14,2,2025-05-30,2025,5,30,Sexta-feira
62,4,10,Corda de Pular,29.9,119.6,704.869.321-50,Basic,435.201.798-14,2,2025-06-09,2025,6,9,Segunda-feira
248,8,9,Isotonico,8.9,71.2,867.450.391-84,Premium,026.954.731-25,4,2025-06-10,2025,6,10,Terça-feira
184,8,9,Isotonico,8.9,71.2,867.450.391-84,Premium,026.954.731-25,4,2025-06-12,2025,6,12,Quinta-feira
214,8,4,Luva de Treino,49.9,399.2,356.982.147-19,Standard,924.138.650-98,5,2025-06-12,2025,6,12,Quinta-feira
1008,7,2,Creatina,59.9,419.3,024.619.853-24,Anual,964.517.302-70,1,2025-06-12,2025,6,12,Quinta-feira
228,10,6,Camiseta Dry Fit,39.9,399.0,256.184.093-05,Anual,924.138.650-98,1,2025-06-15,2025,6,15,Domingo
221,2,5,Cinto Lombar,99.9,199.8,256.843.901-70,Premium,187.926.053-03,5,2025-06-19,2025,6,19,Quinta-feira
136,10,2,Creatina,59.9,599.0,246.057.391-06,Premium,187.926.053-03,2,2025-06-23,2025,6,23,Segunda-feira
183,6,9,Isotonico,8.9,53.4,704.869.321-50,Basic,435.201.798-14,2,2025-06-26,2025,6,26,Quinta-feira
121,1,10,Corda de Pular,29.9,29.9,109.756.842-30,Premium,356.890.241-98,4,2025-06-28,2025,6,28,Sábado
159,1,5,Cinto Lombar,99.9,99.9,651.370.429-43,Basic,356.890.241-98,3,2025-07-03,2025,7,3,Quinta-feira
23,8,4,Luva de Treino,49.9,399.2,439.587.261-19,Standard,026.954.731-25,2,2025-07-05,2025,7,5,Sábado
196,9,1,Whey Protein,89.9,809.1,256.843.901-70,Premium,187.926.053-03,5,2025-07-05,2025,7,5,Sábado
1061,3,10,Corda de Pular,29.9,89.7,504.983.671-93,Basic,924.138.650-98,2,2025-07-05,2025,7,5,Sábado
224,9,6,Camiseta Dry Fit,39.9,359.1,029.346.875-38,Basic,026.954.731-25,3,2025-07-06,2025,7,6,Domingo
2,10,1,Whey Protein,89.9,899.0,105.962.743-43,Anual,435.201.798-14,2,2025-07-07,2025,7,7,Segunda-feira
191,4,10,Corda de Pular,29.9,119.6,903.278.451-04,Basic,430.579.182-04,1,2025-07-09,2025,7,9,Quarta-feira
246,9,9,Isotonico,8.9,80.1,256.843.901-70,Premium,187.926.053-03,5,2025-07-10,2025,7,10,Quinta-feira
177,3,8,Agua Mineral,3.5,10.5,173.204.986-69,Anual,026.954.731-25,1,2025-07-13,2025,7,13,Domingo
1004,9,1,Whey Protein,89.9,809.1,235.149.687-64,Anual,807.295.613-21,3,2025-07-13,2025,7,13,Domingo
170,8,7,Shorts Treino,49.9,399.2,024.619.853-24,Anual,964.517.302-70,1,2025-07-20,2025,7,20,Domingo
207,7,3,Pre-Treino,79.9,559.3,356.982.147-19,Standard,924.138.650-98,5,2025-07-20,2025,7,20,Domingo
254,4,10,Corda de Pular,29.9,119.6,704.869.321-50,Basic,435.201.798-14,2,2025-07-20,2025,7,20,Domingo
41,5,7,Shorts Treino,49.9,249.5,015.872.963-30,Standard,618.709.543-00,1,2025-07-22,2025,7,22,Terça-feira
241,3,8,Agua Mineral,3.5,10.5,173.204.986-69,Anual,026.954.731-25,1,2025-07-23,2025,7,23,Quarta-feira
30,8,5,Cinto Lombar,99.9,799.2,439.587.261-19,Standard,026.954.731-25,2,2025-07-24,2025,7,24,Quinta-feira
